shop_id,name,branchname,alt_name,phone,regionname,address,cross_road,big_category,small_category,longitude,latitude
4640190.0,顺发佳境天城,,,,萧山区,市心北路,,生活服务,小区,120.267502,30.217227
10968808.0,丰东公园,,,,萧山区,机场公路高速,,景点,公园,120.262542,30.220675
17328682.0,海杰德大厦,,,22673966,市心北路,市心北路562号,,生活服务,商务楼,120.268723,30.21389
17407324.0,利一六组,,,,萧山区,奔竞二路东150米,,生活服务,小区,120.247887,30.2346
17486523.0,四海厅小区,,,,市心北路,市中心,,生活服务,小区,120.258086,30.232597
17793761.0,金色江南公寓,,,82637766,萧山区,飞虹路1757号,近外环西路,生活服务,小区,120.26,30.22824
24408125.0,万科大家世纪之光,,,85190008,萧山区,庆春隧道南振宁路与民和路交叉口,,生活服务,小区,120.256969,30.21419
24446230.0,万和国际,,,,萧山区,市心北路与广场路交汇处,,生活服务,小区,120.25685,30.23268
24446256.0,佳境天城,,,83872689,市心北路,市心北路737号,,生活服务,小区,120.267365,30.217854
24446378.0,丰盛大厦,,,82835525,市心北路,振宁路797号,,生活服务,商务楼,120.269348,30.21493
24446419.0,顺丰家园,,,,萧山区,"市心北路与振宁路交叉口,顺发佳境",,生活服务,小区,120.262729,30.214258
24446524.0,江东锦秀,,,,萧山区,"钱江世纪城板块,河庄镇同二村",,生活服务,小区,120.252998,30.2131
24446563.0,顺发和美家,,,82867060,市心北路,市心北路777号,,生活服务,小区,120.26862,30.21776
24446582.0,幸福时代公寓,,,,市心北路,心北路与文明路交叉口西150米,,生活服务,其他公寓,120.2686,30.213018
24446642.0,金昌春和钱塘,,,,萧山区,飞虹路外环西路与民和路交叉口,,生活服务,小区,120.256213,30.226532
24446693.0,大象国际,,,,萧山区,市心北路与民和路交叉口,,生活服务,小区,120.26691,30.228363
24446713.0,钱江世纪城,,,,市心北路,宁围镇丰东村丰二路,,生活服务,小区,120.26812,30.21937
24446718.0,顺发江南丽锦,,,82862666,市心北路,"萧山东临市心北路,南至机场北辅",北靠顺发和美家,生活服务,小区,120.26569,30.227473
24446803.0,滨江金色江南,,,,萧山区,庆春隧道口民和路飞虹路交汇口,,生活服务,小区,120.25806,30.22664
24446848.0,世纪晶钻,,,82772666,市心北路,钱江世纪城公园西路与利丰路交叉口,,生活服务,小区,120.256699,30.230044
24455743.0,龙湖春江彼岸,,,,滨江区,扬帆路(奥体博览城旁,,生活服务,小区,120.23942,30.22644
24918806.0,宏扬鲲鹏中心,,,,萧山区,市心北路857号,,生活服务,商务楼,120.239998,30.219999
24918887.0,港丽.望京,,,,萧山区,庆春隧道东出口,,生活服务,商务楼,120.25,30.22
26977588.0,三宏国际大厦,,,,市心北路,市心北路与广场路交叉口,,生活服务,商务楼,120.26917,30.21887
26978042.0,浙江民营企业大厦,,,,市心北路,市心北路与皓月路交叉口,,生活服务,商务楼,120.256973,30.230701
32688262.0,顺发美哉美城,,,,萧山区,民和路与飞虹路交汇处西南角,,生活服务,小区,120.256544,30.224111
32713531.0,时代花园,,,,市心北路,利华路与心北路交叉口东50米,,生活服务,小区,120.26917,30.218868
32728888.0,御庭园,,,,市心北路,市心北路御庭花园,,生活服务,小区,120.26917,30.21887
32797023.0,万禹国际大厦,,,,市心北路,民和路与皓月路交叉口西北150米,,生活服务,商务楼,120.253677,30.233244
32815051.0,正凯诺德财富中心,,,83787777,市心北路,钱江世纪城皓月路159号,,生活服务,商务楼,120.255081,30.233879
44553051.0,国泰科技大厦,,,83515588,钱江世纪城,宁围镇民和路479号,,生活服务,商务楼,120.255432,30.229277
44695693.0,顺发和美家,,,82867060;83873000,市心北路,钱江世纪城飞虹路1868号,,生活服务,商务楼,120.26334,30.22937
44896758.0,博望大厦,,,,萧山区,射潮路附近,,生活服务,商务楼,120.25818,30.22489
50068976.0,三宏国际,,,82835555,钱江世纪城,钱江世纪城民和路525号,,生活服务,商务楼,120.254159,30.231243
69910656.0,佳境天城人合苑,,,,萧山区,振宁路847号,,生活服务,小区,120.266274,30.215036
